stage_type,Date,start_time,end_time,duration_(s),average_spo2,spo2_samples,TWT_(s),TIB_(s),TST_(s),SE_%,Total_REM_(s),Total_NREM_N3_(s),Total_NREM_N1&N2_(s),Total_Wake_(s),TWT_%,REM_%,NREM_N3_%,NREM_N1&N2_%,Wake_%,count_stages,count_stage_1,count_stage_2,count_stage_3,count_stage_4,count_stage_5,max_spo2
4,2024-09-29,03:39:00,03:49:30,630.0,95.0,2,4170.0,30870.0,26700.0,86.49173955296405,8520.0,2820.0,15360.0,90.0,0.15617977528089888,0.31910112359550563,0.10561797752808989,0.5752808988764045,0.0033707865168539327,4,2.0,2.0,10.0,4.0,5.0,96.0
4,2024-10-01,01:08:00,01:15:00,420.0,97.0,2,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,5,0.0,2.0,17.0,5.0,10.0,97.5
4,2024-10-01,01:57:00,02:02:30,330.0,95.0,1,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,5,0.0,2.0,17.0,5.0,10.0,97.5
4,2024-10-01,02:10:00,02:28:00,1080.0,95.5,2,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,5,0.0,2.0,17.0,5.0,10.0,97.5
4,2024-10-01,03:29:00,03:31:00,120.0,95.0,1,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,5,0.0,2.0,17.0,5.0,10.0,97.5
4,2024-10-01,03:53:00,04:05:00,720.0,95.0,1,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,5,0.0,2.0,17.0,5.0,10.0,97.5
5,2024-09-20,03:03:00,03:03:30,30.0,95.0,1,2340.0,18240.0,15900.0,87.17105263157895,4950.0,270.0,10680.0,2340.0,0.1471698113207547,0.3113207547169811,0.016981132075471698,0.6716981132075471,0.1471698113207547,4,0.0,3.0,7.0,1.0,4.0,95.0
5,2024-09-20,03:06:00,03:42:30,2190.0,95.0,1,2340.0,18240.0,15900.0,87.17105263157895,4950.0,270.0,10680.0,2340.0,0.1471698113207547,0.3113207547169811,0.016981132075471698,0.6716981132075471,0.1471698113207547,4,0.0,3.0,7.0,1.0,4.0,95.0
5,2024-09-20,05:24:00,05:56:30,1950.0,95.0,1,2340.0,18240.0,15900.0,87.17105263157895,4950.0,270.0,10680.0,2340.0,0.1471698113207547,0.3113207547169811,0.016981132075471698,0.6716981132075471,0.1471698113207547,4,0.0,3.0,7.0,1.0,4.0,95.0
5,2024-09-20,06:58:00,07:11:00,780.0,95.0,1,2340.0,18240.0,15900.0,87.17105263157895,4950.0,270.0,10680.0,2340.0,0.1471698113207547,0.3113207547169811,0.016981132075471698,0.6716981132075471,0.1471698113207547,4,0.0,3.0,7.0,1.0,4.0,95.0
5,2024-09-29,00:53:00,01:01:30,510.0,95.0,2,4170.0,30870.0,26700.0,86.49173955296405,8520.0,2820.0,15360.0,90.0,0.15617977528089888,0.31910112359550563,0.10561797752808989,0.5752808988764045,0.0033707865168539327,5,2.0,2.0,10.0,4.0,5.0,96.0
5,2024-09-29,02:18:00,03:02:00,2640.0,95.66666666666669,3,4170.0,30870.0,26700.0,86.49173955296405,8520.0,2820.0,15360.0,90.0,0.15617977528089888,0.31910112359550563,0.10561797752808989,0.5752808988764045,0.0033707865168539327,5,2.0,2.0,10.0,4.0,5.0,96.0
5,2024-09-29,04:06:00,04:43:30,2250.0,96.0,3,4170.0,30870.0,26700.0,86.49173955296405,8520.0,2820.0,15360.0,90.0,0.15617977528089888,0.31910112359550563,0.10561797752808989,0.5752808988764045,0.0033707865168539327,5,2.0,2.0,10.0,4.0,5.0,96.0
5,2024-09-29,05:48:00,06:18:00,1800.0,96.0,3,4170.0,30870.0,26700.0,86.49173955296405,8520.0,2820.0,15360.0,90.0,0.15617977528089888,0.31910112359550563,0.10561797752808989,0.5752808988764045,0.0033707865168539327,5,2.0,2.0,10.0,4.0,5.0,96.0
5,2024-09-29,07:07:00,07:29:00,1320.0,95.66666666666669,3,4170.0,30870.0,26700.0,86.49173955296405,8520.0,2820.0,15360.0,90.0,0.15617977528089888,0.31910112359550563,0.10561797752808989,0.5752808988764045,0.0033707865168539327,5,2.0,2.0,10.0,4.0,5.0,96.0
5,2024-10-01,01:19:00,01:37:00,1080.0,95.0,1,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,10,0.0,2.0,17.0,5.0,10.0,97.5
5,2024-10-01,02:30:00,02:35:30,330.0,95.0,1,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,10,0.0,2.0,17.0,5.0,10.0,97.5
5,2024-10-01,02:37:00,02:58:30,1290.0,96.5,2,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,10,0.0,2.0,17.0,5.0,10.0,97.5
5,2024-10-01,04:13:00,04:14:00,60.0,95.0,1,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,10,0.0,2.0,17.0,5.0,10.0,97.5
5,2024-10-01,04:15:00,04:15:30,30.0,95.0,1,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,10,0.0,2.0,17.0,5.0,10.0,97.5
5,2024-10-01,04:21:00,04:22:00,60.0,95.0,1,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,10,0.0,2.0,17.0,5.0,10.0,97.5
5,2024-10-01,04:32:00,04:39:30,450.0,97.5,2,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,10,0.0,2.0,17.0,5.0,10.0,97.5
5,2024-10-01,04:44:00,05:03:30,1170.0,95.0,1,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,10,0.0,2.0,17.0,5.0,10.0,97.5
5,2024-10-01,06:12:00,06:57:00,2700.0,97.5,2,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,10,0.0,2.0,17.0,5.0,10.0,97.5
5,2024-10-01,06:59:00,07:03:00,240.0,95.0,1,120.0,24210.0,24090.0,99.50433705080545,7410.0,2670.0,14010.0,120.0,0.0049813200498132005,0.30759651307596514,0.11083437110834371,0.5815691158156912,0.0049813200498132005,10,0.0,2.0,17.0,5.0,10.0,97.5
