        Layer (type)               Output Shape         Param #
       LeakyReLU-232         [-1, 32, 128, 128]               0
          Conv2d-233         [-1, 32, 128, 128]          36,896
       LeakyReLU-234         [-1, 32, 128, 128]               0
          Conv2d-235         [-1, 32, 128, 128]          46,112
       LeakyReLU-236         [-1, 32, 128, 128]               0
          Conv2d-237         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-238         [-1, 64, 128, 128]               0
          Conv2d-239         [-1, 32, 128, 128]          18,464
       LeakyReLU-240         [-1, 32, 128, 128]               0
          Conv2d-241         [-1, 32, 128, 128]          27,680
       LeakyReLU-242         [-1, 32, 128, 128]               0
          Conv2d-243         [-1, 32, 128, 128]          36,896
       LeakyReLU-244         [-1, 32, 128, 128]               0
          Conv2d-245         [-1, 32, 128, 128]          46,112
       LeakyReLU-246         [-1, 32, 128, 128]               0
          Conv2d-247         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-248         [-1, 64, 128, 128]               0
            RRDB-249         [-1, 64, 128, 128]               0
          Conv2d-250         [-1, 32, 128, 128]          18,464
       LeakyReLU-251         [-1, 32, 128, 128]               0
          Conv2d-252         [-1, 32, 128, 128]          27,680
       LeakyReLU-253         [-1, 32, 128, 128]               0
          Conv2d-254         [-1, 32, 128, 128]          36,896
       LeakyReLU-255         [-1, 32, 128, 128]               0
          Conv2d-256         [-1, 32, 128, 128]          46,112
       LeakyReLU-257         [-1, 32, 128, 128]               0
          Conv2d-258         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-259         [-1, 64, 128, 128]               0
          Conv2d-260         [-1, 32, 128, 128]          18,464
       LeakyReLU-261         [-1, 32, 128, 128]               0
          Conv2d-262         [-1, 32, 128, 128]          27,680
       LeakyReLU-263         [-1, 32, 128, 128]               0
          Conv2d-264         [-1, 32, 128, 128]          36,896
       LeakyReLU-265         [-1, 32, 128, 128]               0
          Conv2d-266         [-1, 32, 128, 128]          46,112
       LeakyReLU-267         [-1, 32, 128, 128]               0
          Conv2d-268         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-269         [-1, 64, 128, 128]               0
          Conv2d-270         [-1, 32, 128, 128]          18,464
       LeakyReLU-271         [-1, 32, 128, 128]               0
          Conv2d-272         [-1, 32, 128, 128]          27,680
       LeakyReLU-273         [-1, 32, 128, 128]               0
          Conv2d-274         [-1, 32, 128, 128]          36,896
       LeakyReLU-275         [-1, 32, 128, 128]               0
          Conv2d-276         [-1, 32, 128, 128]          46,112
       LeakyReLU-277         [-1, 32, 128, 128]               0
          Conv2d-278         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-279         [-1, 64, 128, 128]               0
            RRDB-280         [-1, 64, 128, 128]               0
          Conv2d-281         [-1, 32, 128, 128]          18,464
       LeakyReLU-282         [-1, 32, 128, 128]               0
          Conv2d-283         [-1, 32, 128, 128]          27,680
       LeakyReLU-284         [-1, 32, 128, 128]               0
          Conv2d-285         [-1, 32, 128, 128]          36,896
       LeakyReLU-286         [-1, 32, 128, 128]               0
          Conv2d-287         [-1, 32, 128, 128]          46,112
       LeakyReLU-288         [-1, 32, 128, 128]               0
          Conv2d-289         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-290         [-1, 64, 128, 128]               0
          Conv2d-291         [-1, 32, 128, 128]          18,464
       LeakyReLU-292         [-1, 32, 128, 128]               0
          Conv2d-293         [-1, 32, 128, 128]          27,680
       LeakyReLU-294         [-1, 32, 128, 128]               0
          Conv2d-295         [-1, 32, 128, 128]          36,896
       LeakyReLU-296         [-1, 32, 128, 128]               0
          Conv2d-297         [-1, 32, 128, 128]          46,112
       LeakyReLU-298         [-1, 32, 128, 128]               0
          Conv2d-299         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-300         [-1, 64, 128, 128]               0
          Conv2d-301         [-1, 32, 128, 128]          18,464
       LeakyReLU-302         [-1, 32, 128, 128]               0
          Conv2d-303         [-1, 32, 128, 128]          27,680
       LeakyReLU-304         [-1, 32, 128, 128]               0
          Conv2d-305         [-1, 32, 128, 128]          36,896
       LeakyReLU-306         [-1, 32, 128, 128]               0
          Conv2d-307         [-1, 32, 128, 128]          46,112
       LeakyReLU-308         [-1, 32, 128, 128]               0
          Conv2d-309         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-310         [-1, 64, 128, 128]               0
            RRDB-311         [-1, 64, 128, 128]               0
          Conv2d-312         [-1, 32, 128, 128]          18,464
       LeakyReLU-313         [-1, 32, 128, 128]               0
          Conv2d-314         [-1, 32, 128, 128]          27,680
       LeakyReLU-315         [-1, 32, 128, 128]               0
          Conv2d-316         [-1, 32, 128, 128]          36,896
       LeakyReLU-317         [-1, 32, 128, 128]               0
          Conv2d-318         [-1, 32, 128, 128]          46,112
       LeakyReLU-319         [-1, 32, 128, 128]               0
          Conv2d-320         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-321         [-1, 64, 128, 128]               0
          Conv2d-322         [-1, 32, 128, 128]          18,464
       LeakyReLU-323         [-1, 32, 128, 128]               0
          Conv2d-324         [-1, 32, 128, 128]          27,680
       LeakyReLU-325         [-1, 32, 128, 128]               0
          Conv2d-326         [-1, 32, 128, 128]          36,896
       LeakyReLU-327         [-1, 32, 128, 128]               0
          Conv2d-328         [-1, 32, 128, 128]          46,112
       LeakyReLU-329         [-1, 32, 128, 128]               0
          Conv2d-330         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-331         [-1, 64, 128, 128]               0
          Conv2d-332         [-1, 32, 128, 128]          18,464
       LeakyReLU-333         [-1, 32, 128, 128]               0
          Conv2d-334         [-1, 32, 128, 128]          27,680
       LeakyReLU-335         [-1, 32, 128, 128]               0
          Conv2d-336         [-1, 32, 128, 128]          36,896
       LeakyReLU-337         [-1, 32, 128, 128]               0
          Conv2d-338         [-1, 32, 128, 128]          46,112
       LeakyReLU-339         [-1, 32, 128, 128]               0
          Conv2d-340         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-341         [-1, 64, 128, 128]               0
            RRDB-342         [-1, 64, 128, 128]               0
          Conv2d-343         [-1, 32, 128, 128]          18,464
       LeakyReLU-344         [-1, 32, 128, 128]               0
          Conv2d-345         [-1, 32, 128, 128]          27,680
       LeakyReLU-346         [-1, 32, 128, 128]               0
          Conv2d-347         [-1, 32, 128, 128]          36,896
       LeakyReLU-348         [-1, 32, 128, 128]               0
          Conv2d-349         [-1, 32, 128, 128]          46,112
       LeakyReLU-350         [-1, 32, 128, 128]               0
          Conv2d-351         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-352         [-1, 64, 128, 128]               0
          Conv2d-353         [-1, 32, 128, 128]          18,464
       LeakyReLU-354         [-1, 32, 128, 128]               0
          Conv2d-355         [-1, 32, 128, 128]          27,680
       LeakyReLU-356         [-1, 32, 128, 128]               0
          Conv2d-357         [-1, 32, 128, 128]          36,896
       LeakyReLU-358         [-1, 32, 128, 128]               0
          Conv2d-359         [-1, 32, 128, 128]          46,112
       LeakyReLU-360         [-1, 32, 128, 128]               0
          Conv2d-361         [-1, 64, 128, 128]         110,656
ResidualDenseBlock-362         [-1, 64, 128, 128]               0
          Conv2d-363         [-1, 32, 128, 128]          18,464
       LeakyReLU-364         [-1, 32, 128, 128]               0
          Conv2d-365         [-1, 32, 128, 128]          27,680
